제품명(한글),수입일자,제조국,수출국
신선양파,2021-01-27,중국,중국
신선마늘쫑,2021-01-27,중국,중국
더덕,2021-01-27,중국,중국
조,2021-01-27,중국,중국
신선 단호박,2021-01-27,뉴질랜드,뉴질랜드
단호박,2021-01-27,뉴질랜드,뉴질랜드
송로버섯,2021-01-27,이탈리아,이탈리아
망고,2021-01-27,태국,태국
체리,2021-01-27,칠레,칠레
참깨,2021-01-27,중국,중국
신선양상추,2021-01-27,중국,중국
블루베리,2021-01-27,칠레,칠레
레몬,2021-01-27,미국,미국
커피생두,2021-01-27,콜롬비아,콜롬비아
냉동고추,2021-01-27,중국,중국
포도,2021-01-27,칠레,칠레
포도,2021-01-27,칠레,칠레
망고,2021-01-27,태국,태국
커피생두,2021-01-27,콜롬비아,콜롬비아
커피생두,2021-01-27,콜롬비아,콜롬비아
신선브로콜리,2021-01-27,중국,중국
신선당근,2021-01-27,중국,중국
신선당근,2021-01-27,중국,중국
신선당근,2021-01-27,중국,중국
블루베리,2021-01-27,칠레,칠레
냉동부추,2021-01-27,중국,중국
디카페인 커피원두,2021-01-27,브라질,독일
바나나,2021-01-27,콜롬비아,콜롬비아
베트남 로부스타 커피,2021-01-27,베트남,베트남
바나나,2021-01-27,에콰도르,에콰도르
체리 (4kg),2021-01-27,칠레,칠레
체리,2021-01-27,칠레,칠레
파인애플,2021-01-27,필리핀,필리핀
망고,2021-01-27,태국,태국
체리,2021-01-27,칠레,칠레
커피원두,2021-01-27,브라질,브라질
망고,2021-01-27,베트남,베트남
커피 생두,2021-01-27,브라질,브라질
아스파라거스 (7KG),2021-01-27,태국,태국
아스파라거스(6KG),2021-01-27,태국,태국
키위,2021-01-27,이탈리아,이탈리아
냉동홍고추,2021-01-27,중국,중국
페루 커피 생두,2021-01-27,페루,페루
바나나,2021-01-27,필리핀,필리핀
바나나,2021-01-27,필리핀,필리핀
"양파/신선,냉장",2021-01-27,중국,중국
신선 고추냉이(와사비),2021-01-27,일본,일본
바나나,2021-01-27,필리핀,필리핀
바나나,2021-01-27,필리핀,필리핀
파인애플,2021-01-27,필리핀,필리핀
소맥,2021-01-27,호주,호주
소맥,2021-01-27,호주,호주
소맥,2021-01-27,호주,호주
호주적맥,2021-01-27,호주,호주
호주백맥,2021-01-27,호주,호주
밤,2021-01-27,중국,중국
건조양파 후레이크,2021-01-27,중국,중국
신선대파,2021-01-27,중국,중국
신선대파,2021-01-27,중국,중국
디카페인 커피원두,2021-01-27,에티오피아,독일
강낭콩,2021-01-27,미국,미국
커피원두,2021-01-27,예멘,예멘
냉동고추,2021-01-27,중국,중국
냉동홍고추,2021-01-27,중국,중국
신선양배추,2021-01-27,중국,중국
두리안,2021-01-27,태국,태국
망고,2021-01-27,페루,페루
유향(보스웰리아),2021-01-27,나이지리아,나이지리아
커피생두,2021-01-27,인도네시아,인도네시아
냉동고추,2021-01-27,중국,중국
커피원두,2021-01-27,에티오피아,에티오피아
망고,2021-01-27,페루,페루
망고,2021-01-27,페루,페루
망고,2021-01-27,페루,페루
망고,2021-01-27,페루,페루
대두,2021-01-27,미국,미국
쿨란트로,2021-01-27,태국,태국
신선 브로콜리,2021-01-27,중국,중국
결명자,2021-01-27,중국,중국
깐도라지,2021-01-27,중국,중국
깐도라지,2021-01-27,중국,중국
마른줄기상추,2021-01-27,중국,중국
깐우엉,2021-01-27,중국,중국
도라지,2021-01-27,중국,중국
마늘쫑,2021-01-27,중국,중국
마늘쫑,2021-01-27,중국,중국
양상추,2021-01-27,대만,대만
포도,2021-01-27,칠레,칠레
양상추,2021-01-27,대만,대만
체리,2021-01-27,칠레,칠레
신선양파,2021-01-27,중국,중국
신선양파,2021-01-27,중국,중국
망고,2021-01-27,페루,페루
블루베리,2021-01-27,칠레,칠레
바나나,2021-01-27,페루,페루
브라질 커피빈,2021-01-27,브라질,브라질
곶감,2021-01-27,중국,중국
바나나,2021-01-27,필리핀,필리핀
바나나,2021-01-27,필리핀,필리핀
마늘쫑,2021-01-27,중국,중국
망고,2021-01-27,태국,태국
냉동대파,2021-01-27,중국,중국
냉동마늘,2021-01-27,중국,중국
냉동깐밤,2021-01-27,중국,중국
냉동 람부탄,2021-01-27,베트남,베트남
냉동 패션후르츠,2021-01-27,베트남,베트남
냉동능이버섯,2021-01-27,중국,중국
냉동당근,2021-01-27,중국,중국
냉동블루베리,2021-01-27,미국,미국
냉동 고사리,2021-01-27,중국,중국
호로파씨,2021-01-27,파키스탄,파키스탄
아몬드,2021-01-27,미국,미국
냉동마늘,2021-01-27,중국,중국
냉동단호박,2021-01-27,중국,중국
건파8R,2021-01-27,중국,중국
냉동 양파,2021-01-27,중국,중국
냉동대파(1KG),2021-01-27,중국,중국
대추야자,2021-01-27,튀니지,튀니지
커클랜드 시그니춰 노르망디 스타일 베지터블 블랜드,2021-01-27,멕시코,미국
아몬드,2021-01-27,미국,미국
냉동당근,2021-01-27,중국,중국
냉동 단호박,2021-01-27,중국,중국
감자,2021-01-27,호주,호주
유기농 바나나,2021-01-27,페루,페루
유기농 바나나,2021-01-27,페루,페루
체리,2021-01-27,칠레,칠레
맥아,2021-01-27,덴마크,덴마크
맥아,2021-01-27,덴마크,덴마크
당귀,2021-01-27,중국,중국
계피,2021-01-27,베트남,베트남
생알땅콩,2021-01-27,중국,중국
냉동고추,2021-01-27,중국,중국
냉동홍고추,2021-01-27,중국,중국
신선 양파,2021-01-27,중국,중국
대파,2021-01-27,중국,중국
냉동고추,2021-01-27,중국,중국
활북방산개구리,2021-01-27,중국,중국
녹용(건조),2021-01-27,뉴질랜드,뉴질랜드
냉동고추,2021-01-27,중국,중국
대두,2021-01-27,캐나다,캐나다
냉동홍고추,2021-01-27,중국,중국
블루베리 125G,2021-01-27,칠레,칠레
체리 (5KG),2021-01-27,칠레,칠레
망고,2021-01-27,페루,페루
체리 (5KG),2021-01-27,칠레,칠레
바나나,2021-01-27,필리핀,필리핀
바나나,2021-01-27,필리핀,필리핀
바나나,2021-01-27,필리핀,필리핀
신선 양파,2021-01-27,중국,중국
신선양파,2021-01-27,중국,중국
숙주나물,2021-01-27,중국,중국
콩나물,2021-01-27,중국,중국
샬롯(10 KG),2021-01-27,태국,태국
망고,2021-01-27,베트남,베트남
강낭콩,2021-01-27,미국,캐나다
오렌지,2021-01-27,미국,미국
커피 생두,2021-01-27,콜롬비아,콜롬비아
"고추냉이(뿌리,신선)",2021-01-27,일본,일본
블루베리,2021-01-27,칠레,칠레
커피 생두,2021-01-27,베트남,베트남
방울다다기 양배추,2021-01-27,벨기에,벨기에
"송로버섯(자실체,신선)",2021-01-27,이탈리아,이탈리아
송로버섯,2021-01-27,이탈리아,이탈리아
망고,2021-01-27,태국,태국
늘푸른대파,2021-01-27,중국,중국
냉동대파,2021-01-26,중국,중국
냉동밤,2021-01-26,중국,홍콩
냉동 청피망,2021-01-26,중국,중국
냉동 브로컬리,2021-01-26,중국,중국
"호박씨(씨앗,건조)",2021-01-26,중국,중국
프로폴리스 원괴,2021-01-26,브라질,브라질
"개암(열매,건조)",2021-01-26,중국,중국
타히티 바닐라빈 50g,2021-01-26,인도네시아,인도네시아
플라니폴리아 바닐라빈 50g,2021-01-26,인도네시아,인도네시아
냉동 냉이,2021-01-26,중국,중국
냉동 아스파라거스,2021-01-26,중국,중국
냉동 피망,2021-01-26,중국,중국
냉동표고버섯,2021-01-26,중국,중국
냉동 브로컬리,2021-01-26,중국,중국
깐메밀,2021-01-26,미국,미국
아몬드,2021-01-26,미국,미국
냉동 깐밤 (10 KG),2021-01-26,중국,중국
캐슈넛,2021-01-26,베트남,베트남
강황,2021-01-26,인도,인도
건파8R,2021-01-26,중국,중국
냉동 고추(1KG),2021-01-26,베트남,베트남
건파8R,2021-01-26,중국,중국
냉동홍고추,2021-01-26,중국,중국
유기대두,2021-01-26,러시아,러시아
냉동마늘(10KG),2021-01-26,중국,중국
혼합후추,2021-01-26,이탈리아,이탈리아
냉동 대파,2021-01-26,중국,중국
아몬드,2021-01-26,미국,미국
아몬드,2021-01-26,미국,미국
건표고버섯갓6호,2021-01-26,중국,중국
냉동카사바,2021-01-26,인도네시아,인도네시아
건표고갓후레이크 3*3,2021-01-26,중국,중국
냉동부추(15KG),2021-01-26,중국,중국
동결건조파2호,2021-01-26,중국,중국
건파,2021-01-26,중국,중국
커피생두,2021-01-26,콜롬비아,콜롬비아
건여주,2021-01-26,중국,중국
샬롯,2021-01-26,중국,중국
커피원두,2021-01-26,인도네시아,인도네시아
참깨,2021-01-26,중국,중국
해바라기씨,2021-01-26,미국,미국
해바라기씨,2021-01-26,미국,미국
신선 단호박,2021-01-26,뉴질랜드,뉴질랜드
단호박,2021-01-26,뉴질랜드,뉴질랜드
단호박,2021-01-26,뉴질랜드,뉴질랜드
단호박,2021-01-26,뉴질랜드,뉴질랜드
신선 단호박,2021-01-26,뉴질랜드,뉴질랜드
감자,2021-01-26,미국,미국
커피 생두,2021-01-26,브라질,브라질
아몬드,2021-01-26,미국,미국
커피 생두,2021-01-26,브라질,브라질
바나나,2021-01-26,콜롬비아,콜롬비아
체리,2021-01-26,칠레,칠레
자몽,2021-01-26,미국,미국
석류,2021-01-26,미국,미국
석류,2021-01-26,미국,미국
자몽,2021-01-26,미국,미국
포도,2021-01-26,칠레,칠레
냉동홍고추,2021-01-26,중국,중국
냉동고추,2021-01-26,중국,중국
유기농 소맥(밀),2021-01-26,터키,터키
생녹용(냉동),2021-01-26,뉴질랜드,뉴질랜드
망고,2021-01-26,태국,태국
석류,2021-01-26,미국,미국
석류 (5kg),2021-01-26,미국,미국
오렌지,2021-01-26,미국,미국
냉동홍고추,2021-01-26,중국,중국
냉동 홍고추,2021-01-26,중국,중국
들깨,2021-01-26,중국,중국
옥수수,2021-01-26,루마니아,루마니아
키위,2021-01-26,이탈리아,이탈리아
양상추(7.5KG),2021-01-26,대만,대만
바나나,2021-01-26,필리핀,필리핀
바나나,2021-01-26,인도네시아,인도네시아
파인애플,2021-01-26,인도네시아,인도네시아
해바라기씨,2021-01-26,불가리아,불가리아
냉동알로에,2021-01-26,베트남,베트남
고추냉이,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
커피원두(에티오피아 시다모 G4),2021-01-26,에티오피아,에티오피아
양상추,2021-01-26,대만,대만
신선당근,2021-01-26,중국,중국
캐슈넛,2021-01-26,베트남,베트남
레몬그라스,2021-01-26,베트남,베트남
캐슈넛,2021-01-26,인도네시아,인도네시아
커피원두,2021-01-26,베트남,베트남
커피원두,2021-01-26,베트남,베트남
깐호두,2021-01-26,미국,미국
커피원두,2021-01-26,에티오피아,에티오피아
망고,2021-01-26,베트남,베트남
알땅콩,2021-01-26,중국,중국
후레쉬코코넛,2021-01-26,베트남,베트남
바나나,2021-01-26,베트남,베트남
신선양파,2021-01-26,중국,중국
마른줄기상추,2021-01-26,중국,중국
커피 생두,2021-01-26,브라질,브라질
냉동편마늘,2021-01-26,중국,중국
강낭콩,2021-01-26,중국,중국
목이버섯 (1kg*10),2021-01-26,중국,중국
건여주,2021-01-26,중국,중국
건노니,2021-01-26,베트남,베트남
레몬그라스,2021-01-26,태국,태국
메현미,2021-01-26,베트남,베트남
커피생두,2021-01-26,콜롬비아,콜롬비아
신선양파,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
옥수수,2021-01-26,호주,호주
작약,2021-01-26,중국,중국
신선브로콜리,2021-01-26,중국,중국
블루베리(312g),2021-01-26,칠레,칠레
"파인애플(12KG,2021.01.13)",2021-01-26,필리핀,필리핀
건고추,2021-01-26,중국,중국
"파인애플(12KG,2021.01.13)",2021-01-26,필리핀,필리핀
"파인애플(12KG,2021.01.13)",2021-01-26,필리핀,필리핀
"바나나(13KG,2021.01.11)",2021-01-26,필리핀,필리핀
"바나나(13KG,2021.01.11)",2021-01-26,필리핀,필리핀
스타아니스,2021-01-26,베트남,베트남
체리,2021-01-26,칠레,칠레
체리,2021-01-26,칠레,칠레
신선우엉,2021-01-26,중국,중국
백후추,2021-01-26,베트남,베트남
포도,2021-01-26,칠레,칠레
양파,2021-01-26,중국,중국
아스파라거스,2021-01-26,페루,페루
체리,2021-01-26,뉴질랜드,뉴질랜드
망고,2021-01-26,페루,페루
체리,2021-01-26,칠레,칠레
건라임잎,2021-01-26,태국,태국
레몬그래스,2021-01-26,태국,태국
샬롯,2021-01-26,태국,태국
아스파라거스,2021-01-26,태국,태국
망고,2021-01-26,태국,태국
애플망고,2021-01-26,페루,페루
바나나 꽃,2021-01-26,태국,태국
망고,2021-01-26,베트남,베트남
타마린드,2021-01-26,태국,태국
신선 갈랑갈,2021-01-26,태국,태국
마늘쫑,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
체리,2021-01-26,칠레,칠레
포도,2021-01-26,페루,페루
"양파/신선,냉장",2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선 양상추,2021-01-26,중국,중국
지황,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
망고,2021-01-26,태국,태국
신선당근,2021-01-26,중국,중국
아스파라거스,2021-01-26,태국,태국
아스파라거스,2021-01-26,페루,페루
아스파라거스,2021-01-26,태국,태국
아스파라거스,2021-01-26,태국,태국
냉동홍고추,2021-01-26,중국,중국
냉동홍고추,2021-01-26,중국,중국
호두,2021-01-26,미국,미국
아몬드,2021-01-26,미국,미국
포도,2021-01-26,칠레,칠레
산사나무(산사),2021-01-26,중국,중국
건목이버섯,2021-01-26,중국,중국
신선대파,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
신선당근,2021-01-26,중국,중국
천궁,2021-01-26,중국,중국
건조도라지,2021-01-26,중국,중국
냉동홍고추,2021-01-26,중국,중국
석류,2021-01-26,미국,미국
해바라기씨,2021-01-26,미국,미국
신선양파,2021-01-26,중국,중국
망고,2021-01-26,태국,태국
망고,2021-01-26,태국,태국
망고,2021-01-26,태국,태국
이집트콩,2021-01-26,캐나다,캐나다
"용과(RED, 3KG)",2021-01-26,베트남,베트남
"바나나(13KG,2021.01.04)",2021-01-26,필리핀,필리핀
"용과(WHITE, 5KG)",2021-01-26,베트남,베트남
해바라기씨,2021-01-26,미국,미국
"바나나(13KG,2021.01.11)",2021-01-26,필리핀,필리핀
신선우엉,2021-01-26,중국,중국
"바나나(13KG,2021.01.11)",2021-01-26,필리핀,필리핀
"바나나(13KG,2021.01.04)",2021-01-26,필리핀,필리핀
커피생두,2021-01-26,케냐,케냐
커피원두,2021-01-26,탄자니아,탄자니아
"양상추(잎,신선)",2021-01-26,중국,중국
신선양상추,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
신선당근,2021-01-26,중국,중국
양상추,2021-01-26,중국,중국
체리,2021-01-26,칠레,칠레
커피원두,2021-01-26,콜롬비아,콜롬비아
블루베리,2021-01-26,칠레,칠레
레몬,2021-01-26,미국,미국
포도,2021-01-26,칠레,칠레
블루베리,2021-01-26,칠레,칠레
커피생두,2021-01-26,콜롬비아,콜롬비아
블루베리,2021-01-26,칠레,칠레
라디치오,2021-01-26,미국,미국
"바나나(13KG,2021.01.04)",2021-01-26,필리핀,필리핀
냉동대파,2021-01-26,중국,중국
코코넛,2021-01-26,베트남,베트남
블루베리 125G,2021-01-26,칠레,칠레
커피생두,2021-01-26,콜롬비아,콜롬비아
커피원두,2021-01-26,에티오피아,에티오피아
아스파라거스(5KG),2021-01-26,페루,페루
깐더덕,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선우엉,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선깐도라지,2021-01-26,중국,중국
마늘쫑(8KG),2021-01-26,중국,중국
신선깐도라지,2021-01-26,중국,중국
신선깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
깐우엉,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선당근,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
깐더덕,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
레몬그라스,2021-01-26,베트남,베트남
야자열매,2021-01-26,베트남,베트남
깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선 표고버섯(2020년),2021-01-26,중국,중국
냉동송이버섯,2021-01-26,중국,중국
신선 단호박,2021-01-26,뉴질랜드,뉴질랜드
페루커피원두,2021-01-26,페루,페루
페루커피원두,2021-01-26,페루,페루
신선우엉,2021-01-26,중국,중국
브라질 커피빈,2021-01-26,브라질,브라질
신선당근,2021-01-26,중국,중국
기장,2021-01-26,러시아,러시아
"망고(열매,신선)",2021-01-26,태국,태국
망고,2021-01-26,태국,태국
쿨란트로,2021-01-26,미얀마,미얀마
신선양파,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
겨자씨,2021-01-26,캐나다,캐나다
레몬,2021-01-26,미국,미국
커피생두,2021-01-26,브라질,브라질
커피원두,2021-01-26,브라질,브라질
커피원두,2021-01-26,코스타리카,코스타리카
커피생두,2021-01-26,콜롬비아,콜롬비아
양상추,2021-01-26,중국,중국
호라산 밀,2021-01-26,캐나다,캐나다
커피생두,2021-01-26,에티오피아,에티오피아
터머릭 홀,2021-01-26,인도,인도
양배추,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
양송이버섯,2021-01-26,중국,중국
깐우엉,2021-01-26,중국,중국
깐도라지 (2KG),2021-01-26,중국,중국
망고,2021-01-26,태국,태국
망고,2021-01-26,태국,태국
신선우엉,2021-01-26,중국,중국
망고,2021-01-26,태국,태국
깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
신선당근,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
늘푸른대파,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
신선브로콜리,2021-01-26,중국,중국
신선깐양파,2021-01-26,중국,중국
신선양파,2021-01-26,중국,중국
커피생두,2021-01-26,브라질,브라질
레몬,2021-01-26,미국,미국
깐도라지,2021-01-26,중국,중국
깐우엉,2021-01-26,중국,중국
브로콜리,2021-01-26,중국,중국
신선도라지,2021-01-26,중국,중국
커피 생두,2021-01-26,콜롬비아,콜롬비아
바나나,2021-01-26,에콰도르,에콰도르
바나나,2021-01-26,에콰도르,에콰도르
바나나,2021-01-26,에콰도르,에콰도르
바나나,2021-01-26,에콰도르,에콰도르
바나나,2021-01-26,베트남,베트남
바나나,2021-01-26,필리핀,필리핀
무말랭이-10KG,2021-01-26,중국,중국
양배추,2021-01-26,중국,중국
신선우엉,2021-01-26,중국,중국
고추씨,2021-01-26,중국,중국
커피원두,2021-01-26,베트남,베트남
레몬그라스,2021-01-26,베트남,베트남
갈랑가,2021-01-26,베트남,베트남
신선당근,2021-01-26,중국,중국
신선표고버섯,2021-01-26,중국,중국
깐도라지,2021-01-26,중국,중국
커클랜드 시그니춰 월넛,2021-01-26,미국,미국
옥수수,2021-01-26,미국,미국
냉동 부추,2021-01-26,중국,중국
바나나,2021-01-25,필리핀,필리핀
강황,2021-01-25,인도,인도
브라질 커피 생두,2021-01-25,브라질,브라질
바나나,2021-01-25,필리핀,필리핀
커피 생두,2021-01-25,브라질,브라질
커피 생두,2021-01-25,브라질,브라질
신선당근,2021-01-25,중국,중국
냉동홍고추,2021-01-25,베트남,베트남
냉동 당근,2021-01-25,중국,중국
냉동 양배추,2021-01-25,중국,중국
냉동 대파 10KG,2021-01-25,중국,중국
파인애플,2021-01-25,필리핀,필리핀
망고,2021-01-25,필리핀,필리핀
망고,2021-01-25,태국,태국
망고,2021-01-25,태국,태국
신선 브로콜리,2021-01-25,중국,중국
망고,2021-01-25,태국,태국
냉동부추,2021-01-25,중국,중국
냉동대파,2021-01-25,중국,중국
"바나나(13KG,2021.01.16)",2021-01-25,필리핀,필리핀
파인애플(13.3KG),2021-01-25,필리핀,필리핀
골드파인애플 (12KG),2021-01-25,필리핀,필리핀
냉동부추,2021-01-25,중국,중국
망고,2021-01-25,필리핀,필리핀
신선양파,2021-01-25,중국,중국
건대파,2021-01-25,중국,중국
당근,2021-01-25,중국,중국
건취나물,2021-01-25,중국,중국
아보카도,2021-01-25,멕시코,멕시코
체리,2021-01-25,칠레,칠레
체리,2021-01-25,칠레,칠레
체리,2021-01-25,칠레,칠레
"레몬그라스(줄기,신선)",2021-01-25,태국,태국
갈랑갈,2021-01-25,태국,태국
샬롯,2021-01-25,태국,태국
곶감,2021-01-25,중국,중국
망고,2021-01-25,태국,태국
콜롬비아  커피원두,2021-01-25,콜롬비아,콜롬비아
건피마자잎,2021-01-25,중국,중국
무말랭이,2021-01-25,중국,중국
건다래순,2021-01-25,중국,중국
건조 무,2021-01-25,중국,중국
건능이버섯,2021-01-25,중국,중국
신선우엉,2021-01-25,중국,중국
양파,2021-01-25,중국,중국
깐양파,2021-01-25,중국,중국
신선당근,2021-01-25,중국,중국
아보카도,2021-01-25,멕시코,멕시코
아보카도,2021-01-25,멕시코,멕시코
아보카도,2021-01-25,멕시코,멕시코
망고,2021-01-25,페루,페루
아보카도,2021-01-25,멕시코,멕시코
바나나 꽃,2021-01-25,태국,태국
망고,2021-01-25,베트남,베트남
아스파라거스,2021-01-25,멕시코,미국
망고,2021-01-25,페루,페루
파스니프,2021-01-25,벨기에,벨기에
엔다이브,2021-01-25,벨기에,벨기에
방울다다기 양배추,2021-01-25,벨기에,벨기에
펜넬,2021-01-25,스페인,벨기에
프리제(FRISEE),2021-01-25,스페인,벨기에
"망고(열매,신선)",2021-01-25,태국,태국
포도,2021-01-25,칠레,칠레
망고,2021-01-25,태국,태국
곶감,2021-01-25,중국,중국
망고,2021-01-25,태국,태국
감자,2021-01-25,미국,미국
커피원두,2021-01-25,브라질,브라질
망고,2021-01-25,태국,태국
블루베리 125G,2021-01-25,칠레,칠레
신선양파,2021-01-25,중국,중국
신선양파,2021-01-25,중국,중국
신선양파,2021-01-25,중국,중국
신선브로콜리,2021-01-25,중국,중국
신선양상추,2021-01-25,중국,중국
깐더덕,2021-01-25,중국,중국
신선양파,2021-01-25,중국,중국
블루베리(125G),2021-01-25,칠레,칠레
포도,2021-01-25,칠레,칠레
양상추,2021-01-25,미국,미국
강낭콩,2021-01-25,중국,중국
대두,2021-01-25,미국,미국
신선송로버섯,2021-01-25,이탈리아,이탈리아
커피원두,2021-01-25,파나마,파나마
커피생두,2021-01-25,인도네시아,인도네시아
망고 *6KG,2021-01-25,필리핀,필리핀
망고 6kg,2021-01-25,필리핀,필리핀
체리,2021-01-25,칠레,칠레
브라질커피원두,2021-01-25,브라질,브라질
블루베리 (125G),2021-01-25,칠레,칠레
맥아,2021-01-25,호주,호주
고추냉이 와사비,2021-01-25,일본,일본
커피원두(생두),2021-01-25,브라질,브라질
블루베리(312g),2021-01-25,칠레,칠레
브로콜리,2021-01-25,중국,중국
판단잎,2021-01-25,베트남,베트남
산조인,2021-01-25,미얀마,미얀마
사탕수수,2021-01-25,베트남,베트남
레몬그라스,2021-01-25,베트남,베트남
강황,2021-01-25,인도,인도
체리,2021-01-25,칠레,칠레
"파인애플(12KG,2021.01.16)",2021-01-25,필리핀,필리핀
신선양파,2021-01-25,중국,중국
레몬,2021-01-25,미국,미국
오렌지,2021-01-25,미국,미국
황기/21KG,2021-01-25,중국,중국
황기,2021-01-25,중국,중국
신선표고,2021-01-25,중국,중국
표고버섯,2021-01-25,중국,중국
"파파야(5KG,2021.01.08)",2021-01-25,필리핀,필리핀
신선양파,2021-01-25,중국,중국
더덕,2021-01-25,중국,중국
신선표고버섯,2021-01-25,중국,중국
체리,2021-01-25,칠레,칠레
체리,2021-01-25,칠레,칠레
바나나,2021-01-25,에콰도르,에콰도르
호주백맥,2021-01-25,호주,호주
신선인삼,2021-01-25,중국,중국
망고,2021-01-25,태국,태국
갈랑가(10 KG),2021-01-25,태국,태국
바나나꽃,2021-01-25,태국,태국
레몬그라스,2021-01-25,태국,태국
건양파,2021-01-25,중국,중국
호박씨,2021-01-25,중국,중국
망고(5kg),2021-01-25,태국,태국
신선당근,2021-01-25,중국,중국
표고버섯,2021-01-25,중국,중국
신선당근,2021-01-25,중국,중국
깐도라지,2021-01-25,중국,중국
신선더덕,2021-01-25,중국,중국
깐더덕,2021-01-25,중국,중국
커피생두,2021-01-25,에티오피아,에티오피아
커피생두,2021-01-25,콜롬비아,콜롬비아
커피생두,2021-01-25,브라질,브라질
커피생두,2021-01-25,브라질,브라질
커피생두,2021-01-25,브라질,브라질
아보카도,2021-01-25,멕시코,멕시코
파인애플 (13.8KG),2021-01-25,필리핀,필리핀
파인애플 (12KG),2021-01-25,필리핀,필리핀
망고,2021-01-25,태국,태국
코코넛(8 KG),2021-01-25,태국,태국
샬롯,2021-01-25,네덜란드,벨기에
아보카도,2021-01-25,멕시코,멕시코
망고,2021-01-25,태국,태국
망고,2021-01-25,태국,태국
앤다이브,2021-01-25,벨기에,벨기에
차이브,2021-01-25,이스라엘,이스라엘
방울다다기 양배추,2021-01-25,벨기에,벨기에
타임,2021-01-25,이스라엘,이스라엘
아스파라거스,2021-01-25,페루,페루
아스파라거스,2021-01-25,페루,페루
신선양파,2021-01-25,중국,중국
신선양파,2021-01-25,중국,중국
냉동고추,2021-01-25,중국,중국
냉동홍고추,2021-01-25,중국,중국
냉동홍고추,2021-01-25,중국,중국
커피생두,2021-01-25,에티오피아,에티오피아
아몬드,2021-01-25,미국,미국
커피생두,2021-01-25,에티오피아,에티오피아
감초,2021-01-25,우즈베키스탄,우즈베키스탄
커피생두 (70KG),2021-01-25,콜롬비아,콜롬비아
생알땅콩,2021-01-25,중국,중국
유기농바나나,2021-01-25,페루,페루
쿨란트로,2021-01-25,태국,태국
콩나물콩,2021-01-25,미국,미국
옥수수,2021-01-25,러시아,러시아
호두,2021-01-25,미국,미국
건 라임잎,2021-01-25,태국,태국
아몬드,2021-01-25,미국,미국
아몬드,2021-01-25,미국,미국
호두,2021-01-25,미국,미국
냉동고추,2021-01-25,중국,중국
핑거루트,2021-01-25,태국,태국
레몬그라스,2021-01-25,베트남,베트남
신선대파,2021-01-25,중국,중국
냉동고추,2021-01-25,중국,중국
용과,2021-01-25,베트남,베트남
여주,2021-01-25,베트남,베트남
포도,2021-01-25,칠레,칠레
오렌지,2021-01-25,미국,미국
오렌지,2021-01-25,미국,미국
오렌지,2021-01-25,미국,미국
커피생두,2021-01-25,콜롬비아,콜롬비아
오렌지,2021-01-25,미국,미국
오렌지,2021-01-25,미국,미국
오렌지,2021-01-25,미국,미국
오렌지,2021-01-25,미국,미국
오렌지,2021-01-25,미국,미국
오렌지-18kg,2021-01-25,미국,미국
아스파라거스,2021-01-25,페루,페루
브로콜리니,2021-01-25,벨기에,벨기에
아티초크,2021-01-25,스페인,벨기에
송로버섯,2021-01-25,이탈리아,이탈리아
엔다이브,2021-01-25,벨기에,벨기에
펜넬,2021-01-25,스페인,벨기에
아스파라거스 4 kgs,2021-01-25,페루,페루
아스파라거스 4KG,2021-01-25,페루,페루
파스니프,2021-01-25,벨기에,벨기에
프리제(FRISEE),2021-01-25,스페인,벨기에
망고,2021-01-25,페루,페루
송로버섯,2021-01-25,이탈리아,이탈리아
신선송로버섯,2021-01-25,스페인,스페인
레드 엔다이브,2021-01-25,네덜란드,벨기에
바나나꽃,2021-01-25,태국,태국
샬롯,2021-01-25,태국,태국
쿨란트로,2021-01-25,베트남,베트남
대두,2021-01-25,캐나다,캐나다
자몽,2021-01-25,미국,미국
메로골드,2021-01-25,미국,미국
자몽,2021-01-25,미국,미국
자몽,2021-01-25,미국,미국
자몽,2021-01-25,미국,미국
석류,2021-01-25,미국,미국
